index,postal_code,lat,lng,walkscore,da_id
2218,S7M 2K1,52.128000,-106.689000,47110570,81
2219,S7M 2K7,52.123500,-106.689000,47110546,66
2220,S7M 2K6,52.123500,-106.689000,47110546,66
2221,S7J 0S8,52.104000,-106.668000,47110188,54
2222,S7J 0S9,52.099500,-106.668000,47110699,49
2223,S7J 0S6,52.104000,-106.671000,47110188,54
2224,S7J 0S6,52.102500,-106.671000,47110188,55
2225,S7J 0S6,52.107000,-106.671000,47110188,53
2226,S7J 0S7,52.099500,-106.669500,47110699,50
2227,S7J 0S7,52.099500,-106.668000,47110699,49
2228,S7M 2K9,52.122000,-106.689000,47110546,62
